,strAccount,strText,DateTime,fltCompound,fltPositive,fltNeutral,fltNegative,hrsApart,TweetsAgo,Color
320,@FoxNews,"If you put all the man hours together, it would be 75 years of someone's life to do all the visual effects on Paddi… https://t.co/qXDiEDggSw",2017-12-14 19:00:04,0.0,0.0,1.0,0.0,0.49833333333333335,21.0,green
499,@nytimes,"🐠 In the final episode of #BluePlanet2, David Attenborough explored some of the issues facing life in the oceans.… https://t.co/LGXeb4XRnH",2017-12-12 13:00:05,0.0,0.0,1.0,0.0,0,100.0,blue
498,@nytimes,"🍪 @Nigella_Lawson's 'forgotten cookies' recipe is one to remember this Christmas. 
Full recipe here 👉… https://t.co/Ti9tNmAlsb",2017-12-12 13:30:04,-0.2263,0.0,0.881,0.119,0.49972222222222223,99.0,blue
497,@nytimes,New research suggests that #ManFlu is a real thing. 😷 https://t.co/zMM12bFOCy,2017-12-12 14:00:05,0.0,0.0,1.0,0.0,0.5002777777777778,98.0,blue
496,@nytimes,🥇 @BBCOne has announced a new Saturday night game show to launch in the run up to Sport Relief 2018.… https://t.co/26UoAkfV8d,2017-12-12 14:30:09,0.4767,0.147,0.853,0.0,0.5011111111111111,97.0,blue
495,@nytimes,"🐋🐙 #BluePlanet2 has become @BBCiPlayer’s most popular programme of the year so far, with 4.2 million requests for t… https://t.co/m9bcExK8fz",2017-12-12 15:00:10,0.4754,0.14,0.86,0.0,0.5002777777777778,96.0,blue
494,@nytimes,"RT @BBCOne: #TheApprentice. Emoji style.
😁😰🙄☺️😠😏🤗 https://t.co/wVHbF7LKIZ",2017-12-12 15:04:37,0.0,0.0,1.0,0.0,0.07416666666666667,95.0,blue
493,@nytimes,RT @BBCiPlayer: 🎿 Planning a ski holiday? @ClaudiaWinkle has a special message for you 😂 https://t.co/9bgFssqWxj,2017-12-12 15:05:52,0.6597,0.351,0.649,0.0,0.020833333333333332,94.0,blue
492,@nytimes,The eight party season commandments that'll help you survive all the festivities. 😫🎄 https://t.co/2syg9lMOae https://t.co/44WFAPi0HB,2017-12-12 15:34:04,0.8176,0.415,0.585,0.0,0.47,93.0,blue
491,@nytimes,"RT @bbc5live: ""Tom gave the ultimate gift"" 

Lisa donated her son's organs after he died two years ago. https://t.co/DfvkAgRnoF",2017-12-12 16:07:17,-0.1779,0.123,0.723,0.153,0.5536111111111112,92.0,blue
490,@nytimes,😍📸 Your pictures of beautiful Scotland from last week. Via @BBCScotland. https://t.co/oCDu9gmx6j,2017-12-12 16:30:01,0.5994,0.262,0.738,0.0,0.3788888888888889,91.0,blue
489,@nytimes,National treasures @Dawn_French &amp; Jennifer Saunders (@ferrifrump) are back together this festive season with a spec… https://t.co/7zRCfpqGN7,2017-12-12 16:58:17,0.743,0.31,0.69,0.0,0.4711111111111111,90.0,blue
488,@nytimes,"Vinny Singh breaks down the questions that a Sikh gets asked. 
Via @BBCTheSocial. https://t.co/TzDifjETu6",2017-12-12 17:30:05,0.0,0.0,1.0,0.0,0.53,89.0,blue
